fish_id,site_id,year,month,day,location,fish_num,species,length,height,Lep_cope,chalA,chalB,Lep_PAmale,Lep_PAfemale,Lep_male,Lep_nongravid,Lep_gravid,Caligus_cope,Caligus_mot,Caligus_gravid,unid_cope,chal_unid,unid_PA,unid_adult,chal_scar,pred_scar,mot_scar,hem,mateguarding,eroded_gill,blue_blotches,pinched_belly,scales,white_eye,Grazed_gill_plate,Lironca,comments
1726,89,2020,4,10,Bedwell River,1,coho,82,16,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,eye
1727,89,2020,4,10,Bedwell River,2,coho,87,16,,,,,,,,,,,,,,,,,,,,,,,,1,,,,scarred operculum
1728,89,2020,4,10,Bedwell River,3,coho,102,18,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1729,89,2020,4,10,Bedwell River,4,coho,110,21,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1730,89,2020,4,10,Bedwell River,5,chum,93,16,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,
1731,89,2020,4,10,Bedwell River,6,coho,92,17,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1732,89,2020,4,10,Bedwell River,7,coho,111,21,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1733,89,2020,4,10,Bedwell River,8,coho,106,22,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1734,89,2020,4,10,Bedwell River,9,coho,109,22,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1735,89,2020,4,10,Bedwell River,10,coho,71,14,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1736,89,2020,4,10,Bedwell River,11,coho,89,16,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1737,89,2020,4,10,Bedwell River,12,coho,101,18,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1738,89,2020,4,10,Bedwell River,13,coho,98,19,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1739,89,2020,4,10,Bedwell River,14,coho,75,18,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1740,89,2020,4,10,Bedwell River,15,coho,95,18,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1741,89,2020,4,10,Bedwell River,16,coho,91,19,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
