,region,species,nFish,forklength,juvenileLice,adultLep,adultCaligus
1,Discovery,chum,67,"63.9 (60.6, 67.5)","3.25 (2.52, 3.96)","1.19 (0.85, 1.55)","0.18 (0.07, 0.31)"
2,Discovery,pink,282,"59.0 (57.8, 60.0)","2.70 (2.38, 3.05)","1.53 (1.33, 1.72)","0.34 (0.26, 0.42)"
3,Discovery,Chinook,1,"41.1 (3.0, 80.0)","1.49 (1.00, 2.00)","1.00 (1.00, 1.00)","0.00 (0.00, 0.00)"
4,Discovery,sockeye,104,"106.6 (104.8, 108.2)","8.03 (7.26, 8.74)","0.07 (0.01, 0.14)","0.57 (0.42, 0.72)"
5,Discovery,coho,NA,NA,NA,NA,NA
6,Broughton,chum,784,"62.6 (61.4, 64.0)","0.56 (0.49, 0.62)","0.08 (0.05, 0.11)","0.11 (0.09, 0.14)"
7,Broughton,pink,1181,"60.9 (60.0, 61.9)","0.44 (0.39, 0.50)","0.13 (0.11, 0.15)","0.11 (0.09, 0.13)"
8,Broughton,Chinook,NA,NA,NA,NA,NA
9,Broughton,sockeye,24,"70.8 (67.1, 74.6)","5.55 (2.75, 8.83)","0.04 (0.00, 0.12)","0.16 (0.04, 0.29)"
10,Broughton,coho,NA,NA,NA,NA,NA
11,PortHardy,chum,71,"126.7 (121.2, 131.4)","13.54 (9.51, 18.41)","0.59 (0.35, 0.87)","2.50 (1.99, 3.10)"
12,PortHardy,pink,175,"125.6 (123.6, 127.6)","6.72 (5.06, 8.68)","0.62 (0.39, 0.99)","1.90 (1.64, 2.14)"
13,PortHardy,Chinook,NA,NA,NA,NA,NA
14,PortHardy,sockeye,28,"98.9 (96.9, 101.3)","40.76 (35.11, 46.14)","0.00 (0.00, 0.00)","1.14 (0.82, 1.50)"
15,PortHardy,coho,NA,NA,NA,NA,NA
16,Clayoquot,chum,729,"55.2 (54.5, 55.9)","2.62 (2.33, 2.93)","0.22 (0.16, 0.28)","0.04 (0.02, 0.05)"
17,Clayoquot,pink,1,"28.6 (1.0, 57.0)","0.00 (0.00, 0.00)","1.00 (1.00, 1.00)","0.00 (0.00, 0.00)"
18,Clayoquot,Chinook,213,"60.1 (58.7, 61.6)","2.99 (2.47, 3.58)","0.02 (0.00, 0.05)","0.04 (0.01, 0.08)"
19,Clayoquot,sockeye,NA,NA,NA,NA,NA
20,Clayoquot,coho,50,"88.9 (87.0, 90.6)","0.69 (0.30, 1.14)","0.04 (0.00, 0.10)","0.02 (0.00, 0.06)"
21,Nootka,chum,280,"62.8 (61.0, 64.6)","4.27 (3.73, 4.77)","4.25 (3.56, 4.99)","0.14 (0.10, 0.19)"
22,Nootka,pink,2,"45.5 (44.0, 47.0)","1.51 (1.00, 2.00)","0.51 (0.00, 1.00)","0.00 (0.00, 0.00)"
23,Nootka,Chinook,18,"97.5 (92.1, 103.3)","3.73 (2.44, 5.17)","1.34 (0.50, 2.39)","0.62 (0.17, 1.17)"
24,Nootka,sockeye,3,"101.6 (93.0, 117.0)","6.07 (1.00, 15.00)","1.65 (0.00, 3.00)","0.33 (0.00, 1.00)"
25,Nootka,coho,NA,NA,NA,NA,NA
